Row;Arabidopsis thaliana;Brachypodium distachyon;Musa acuminata;Oryza sativa;Phoenix dactylifera;Sorghum bicolor
18482;1;0;0;0;0;0
20775;0;0;0;1;0;0
19554;0;1;0;0;0;0
22474;0;1;0;0;0;1
1720;1;1;1;1;1;1
3887;1;1;1;1;1;1
5026;1;1;1;1;1;1
11365;1;1;1;1;0;1
10368;1;1;1;1;1;1
10326;1;1;1;1;1;1
2411;0;1;1;1;0;1
18039;0;0;1;0;0;0
8213;1;1;1;1;1;1
9880;1;1;1;1;1;1
6255;1;1;1;1;1;1
10721;1;0;0;1;0;1
5066;1;1;1;1;1;1
17960;0;0;1;0;0;0
17954;0;0;1;0;0;0
11573;1;1;1;1;0;1
16437;0;1;0;1;0;1
1511;0;1;0;1;1;1
6403;1;1;1;1;1;1
22000;0;1;0;0;0;1
1515;1;1;1;1;1;1
22998;0;0;0;1;0;1
12986;0;1;0;1;0;1
8155;1;1;1;1;1;1
14398;1;0;0;0;0;0
544;1;1;1;1;0;1
20914;0;0;0;1;0;0
12978;0;0;0;0;0;1
14002;0;1;0;0;1;1
2660;1;1;1;1;1;1
21609;0;0;1;0;1;0
22340;0;1;0;1;0;0
13520;0;1;0;1;1;1
8331;1;1;1;1;1;1
16927;0;1;0;1;0;1
22409;0;1;0;0;0;1
10390;1;1;1;1;1;1
15088;0;0;0;1;0;0
3419;1;1;1;1;1;1
15104;0;0;0;1;0;0
11763;0;1;1;1;1;1
20765;0;0;0;1;0;0
9708;1;1;1;1;1;1
5793;1;1;1;1;1;1
18685;0;0;0;0;1;0
9047;1;1;1;1;1;1
22652;0;0;0;1;0;1
19043;0;0;0;0;0;1
4708;1;1;1;1;1;1
6097;1;1;1;1;1;1
16407;0;1;0;1;0;1
21090;0;0;0;1;0;1
16985;0;1;0;1;0;1
4232;1;1;1;1;0;1
16651;0;1;0;1;0;1
4909;0;1;0;0;1;1
21367;0;0;1;1;0;0
1179;1;1;1;1;1;1
14983;0;0;0;1;0;0
22881;0;0;0;1;0;1
9906;1;1;1;1;1;1
4779;1;1;1;1;1;1
9917;1;1;1;1;1;1
7104;0;0;0;1;0;1
4900;0;0;0;0;0;1
16995;0;1;0;1;0;1
7604;1;0;1;1;1;1
13439;1;1;0;1;0;1
2023;1;1;1;1;1;1
16480;0;1;0;1;0;1
16558;0;1;0;1;0;1
3154;1;1;1;1;0;1
2833;1;1;1;1;1;1
17200;0;1;0;1;0;1
15181;1;0;0;0;0;0
3022;1;1;1;1;1;1
16747;0;1;0;1;0;1
14606;0;1;0;0;0;1
7097;0;0;0;1;0;1
16239;0;1;0;1;0;1
14846;0;1;0;0;0;1
22777;0;0;0;1;0;1
6951;1;1;1;1;1;1
18633;1;0;0;0;0;0
18478;1;0;0;0;0;0
11327;1;1;0;1;1;1
7352;1;1;1;0;1;1
12922;0;1;0;1;0;1
15292;0;0;0;1;0;0
15279;0;0;0;1;0;0
20536;0;0;0;0;0;1
11939;0;1;1;1;1;1
6564;1;1;1;1;1;1
15932;0;1;0;1;0;1
19998;0;0;0;1;0;0
20507;1;0;0;0;0;0
22537;0;1;0;1;0;0
16844;0;1;0;1;0;1
20367;1;0;0;0;0;0
6295;1;1;1;1;1;1
14640;0;0;0;1;0;1
20145;0;0;0;1;0;0
16081;1;0;1;0;1;0
6424;1;1;1;1;1;1
3220;1;1;1;1;1;1
9853;1;1;1;1;1;1
9298;1;1;1;1;1;1
7005;1;1;1;1;1;1
